满江红·再题精忠柏，调寄满江红，步武穆韵（乙卯）（清末民国初·王照）	世宙无常，总万汇、终归衰歇。贯今古、精神郁勃，惟兹义烈。雠陷亚夫牵甲楯，中伤斛律歌明月。抱不平、江水咽胥涛，同凄切。莫须有，冤谁雪。涅背字，几埋灭。计偏安，一任方舆残缺。大厦知难支一木，痛心忍溅忠臣血。轮囷姿、耻伴幕乌巢，卑廷阙。
西江月·赠南郑彭翼仲，调寄西江月（乙卯）（清末民国初·王照）	咫尺仙源有路，此中人不知秦①。数家临水自为邻。三斗俗尘扑尽。莫说蒹葭倚玉，忘形尔我无分。绿杨宜作两家春。沾得流风余韵。
如梦令·仲冬望日独坐航泊轩迎月，调寄如梦令（清末民国初·王照）	林隙灯光明灭。远岸暮钟敲彻。风定碧云凝，托起一轮寒月。清绝。清绝。照见满湖澄澈。
鹧鸪天·閒窗遣兴，调寄鹧鸪天（丙辰）（清末民国初·王照）	远近鸣蜩迭送声。浮空云影弄阴晴。小斋镇日明窗启，不待迎秋气自清。同鹤梦，共鸥盟。坐观垂钓水盈盈。荷香趁暝来寻我，藤榻初眠未掩荆。
如梦令·晓色，调寄如梦令（清末民国初·王照）	万树团圞笼雾。旭影彤云遮护。人起不惊鸥，负手堤边轻步。清趣。清趣。领得一湖风露。
西江月·新置小舟，邀友未至，调寄西江月（清末民国初·王照）	雨润芭蕉叶大，凉秋百卉增妍。草堂凝望树云天。佳客空怀缱绻。准备烟波载酒，不须书画盈船。小航镇日自萧閒。老柳根边系缆。
捣练子·晚景，调寄捣练子（清末民国初·王照）	新雨后，碧天长。秋入苍葭一味凉。独坐移时云水静，月钩斜挂柳梢黄。
忆江南·蜂雕窗纸，孔密如纱。喜而有作，调寄忆江南（清末民国初·王照）	花光满，深屋隔帘重。怪底游蜂能解事，碎雕窗纸透玲珑。阵阵入香风。
点绛唇·雪后湖东回望，调寄点绛唇（清末民国初·王照）	春雪初晴，远峰头戴斑斑白。云山开廓。高柳摇城郭。移棹东西，一曲穿溪彴。环湖宅。水天不隔。一点尘无著。
西江月·寄赠黄秀伯，调寄西江月（庚申）（清末民国初·王照）	二一庐前春满，先生报道迁居①。林花惨淡鸟欷歔。似怨薄情轻去。不是薄情轻去，先生实被饥驱。此閒老友赋邛须。他日能无还顾。
雪泥一印诗余删存（录自《清代诗文集汇编·787册·三草删存·雪泥一印》）西江月·三浦一竿老人宅作，老人曾为县令，归隐高知县北郭（清末民国初·王照）	彭泽当年斗米，少陵此日渔翁。北山倾黛腻波中。浓蘸一竿翠重。园果肥添雨雨，林花乱舞风风。老仙不醉总颜红。手摘金团如瓮①。
满江红·高知港外舟中作（清末民国初·王照）	数点征帆，凭栏处、海天萧瑟。试侧耳、鲸鲵鼓荡，风雷消息。蚩蠢群生谁济渡，时机万变难窥测。叹两年、髀肉暗中生，增悽恻。望燕阙，妖氛塞。连海岱，云头黑。为关心添几许，鬓边霜色。潭底龙囚思致雨，阱中虎伏飞无翼。待何当、奋力再腾骧，除奸慝。
南乡子·宇治桥作（清末民国初·王照）	山水气空灵。两岸林峦列画屏。倚枕滩声清刷耳，泠泠。况复深宵月下听。芳草未流萤。对面楼帘卷水晶。几处凭栏夜无语，冥冥。高下疏灯影带青①。
照胆台诗余删存临江仙·照胆台东轩赏雨，调寄临江仙（清末民国初·王照）	风雨满湖游未便，开轩静对荷塘。摇摇数点泣新妆。盖倾珠乱撒，蒲柳不禁凉。枝蔓绕池杂疏密，透来一角湖光。隔湖缥缈见青苍。模糊城郭是，一抹绿烟长。
南乡子·由照胆台散步西行，调寄南乡子（清末民国初·王照）	信步绕湖边。云懒山慵近午天。柳岸荷塘度人影，萧閒。梵宇钟声宕碧烟。几折路回环。逦迤行过竹素园。池馆亭台数不尽，绵延。鸡犬人家半是仙。
